trade_date,symbol,transaction_type,quantity,price,trade_value,charges
2025-06-23 15:25:00,EO CE AUBANK 26Jun2025 820,BUY,1000,2.05,2050.0,0
2025-08-18 09:15:01,EO CE AUBANK 28Aug2025 830,BUY,1000,1.2,1200.0,0
2025-08-08 09:36:24,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800.0,0
2025-06-23 15:25:50,EO CE BAJAJFINSV 26Jun2025 2080,BUY,500,1.35,675.0,0
2025-06-03 12:31:29,EO CE BAJAJFINSV 26Jun2025 2240,SALE,500,2.4,1200.0,0
2025-07-01 15:02:49,EO CE SBILIFE 31Jul2025 2040,SALE,750,2.9,2175.0,0
2025-07-23 14:46:17,EO CE SBILIFE 31Jul2025 2040,BUY,375,0.45,168.75,0
2025-07-30 13:53:51,EO CE SHREECEM 31Jul2025 34000,BUY,25,2.05,51.25,0
2025-07-02 10:52:22,EO CE SHREECEM 31Jul2025 34000,SALE,25,103.3,2582.5,0
2025-06-13 11:36:10,EO CE SOLARINDS 26Jun2025 18500,BUY,300,40.1,12030.0,0
2025-07-02 14:32:32,EO CE SOLARINDS 31Jul2025 20000,SALE,75,29.9,2242.5,0
2025-08-25 13:07:59,EO CE SRF 28Aug2025 3200,BUY,200,1.3,260.0,0
2025-06-25 11:41:42,EO CE SRF 31Jul2025 3500,SALE,200,14.0,2800.0,0
2025-07-11 09:28:34,EO CE TATAELXSI 31Jul2025 6500,SALE,200,25.0,5000.0,0
2025-09-04 14:14:27,EO CE TATAMOTORS 30Sep2025 740,BUY,800,4.25,3400.0,0
2025-07-30 10:17:05,EO CE TATAMOTORS 31Jul2025 690,SALE,1600,1.0,1600.0,0
2025-08-12 11:48:56,EO CE TATASTEEL 28Aug2025 180,BUY,5500,0.2,1100.0,0
2025-07-24 09:46:20,EO CE LODHA 31Jul2025 1480,BUY,450,1.55,697.5,0
2025-09-30 15:15:19,EO CE MARUTI 28Oct2025 18000,BUY,50,32.25,1612.5,0
2025-09-08 14:46:10,EO CE MARUTI 30Sep2025 16400,BUY,100,18.0,1800.0,0
2025-07-31 10:01:02,EO CE MAXHEALTH 31Jul2025 1400,BUY,1050,0.05,52.5,0
2025-06-16 12:26:21,EO CE MFSL 26Jun2025 1680,BUY,800,2.05,1640.0,0
2025-08-29 14:16:21,EO CE MFSL 30Sep2025 1840,SALE,800,2.9,2320.0,0
2025-08-14 11:08:58,EO CE NAUKRI 28Aug2025 1500,BUY,750,4.25,3187.5,0
2025-06-24 10:53:36,EO CE NYKAA 26Jun2025 205,SALE,5900,0.6,3540.0,0
2025-06-26 10:59:01,EO CE NYKAA 26Jun2025 220,BUY,5900,0.05,295.0,0
2025-09-04 10:04:57,EO CE NYKAA 30Sep2025 255,BUY,3125,3.1,9687.5,0
2025-08-25 13:11:24,EO CE NYKAA 30Sep2025 255,SALE,3125,2.05,6406.25,0
2025-09-05 12:05:16,EO CE NYKAA 30Sep2025 260,BUY,3125,1.9,5937.5,0
2025-07-25 09:24:24,EO CE BAJFINANCE 31Jul2025 960,SALE,750,1.35,1012.5,0
2025-06-17 12:51:08,EO CE BIOCON 26Jun2025 380,BUY,2500,1.6,4000.0,0
2025-08-05 10:06:05,EO CE BOSCHLTD 28Aug2025 44000,BUY,25,315.15,7878.75,0
2025-07-30 12:27:11,EO CE BPCL 31Jul2025 350,BUY,3950,0.8,3160.0,0
2025-08-18 10:06:42,EO CE BRITANNIA 28Aug2025 6000,BUY,125,5.05,631.25,0
2025-08-14 13:15:42,EO CE BRITANNIA 28Aug2025 6200,BUY,125,1.5,187.5,0
2025-09-24 10:28:21,EO CE BRITANNIA 30Sep2025 6400,SALE,125,3.4,425.0,0
2025-09-04 10:59:44,EO CE BRITANNIA 30Sep2025 6600,BUY,250,20.0,5000.0,0
2025-06-02 10:27:26,EO CE BSE 26Jun2025 3100,SALE,750,16.9,12675.0,0
2025-06-16 12:04:41,EO CE BSE 26Jun2025 3400,SALE,750,3.3,2475.0,0
2025-06-13 10:53:05,EO CE CHOLAFIN 26Jun2025 1800,SALE,1875,1.2,2250.0,0
2025-08-01 14:47:12,EO CE CHOLAFIN 28Aug2025 1660,SALE,625,1.9,1187.5,0
2025-07-14 11:19:11,EO CE DMART 31Jul2025 4500,SALE,150,7.9,1185.0,0
2025-07-31 13:36:03,EO CE DMART 31Jul2025 4500,BUY,150,0.05,7.5,0
2025-07-02 09:38:43,EO CE DMART 31Jul2025 4900,SALE,150,19.0,2850.0,0
2025-08-18 12:25:06,EO CE EICHERMOT 28Aug2025 6500,SALE,175,3.65,638.75,0
2025-09-09 09:30:27,EO CE EICHERMOT 30Sep2025 7400,SALE,175,18.5,3237.5,0
2025-09-23 09:23:40,EO CE EICHERMOT 30Sep2025 7600,BUY,350,7.5,2625.0,0
2025-08-11 15:25:12,EO CE FORTIS 28Aug2025 980,BUY,775,3.95,3061.25,0
2025-08-01 11:01:38,EO CE HDFCBANK 28Aug2025 2240,SALE,550,1.0,550.0,0
2025-06-23 09:50:19,EO CE HDFCLIFE 26Jun2025 800,SALE,1100,0.9,990.0,0
2025-06-27 12:17:53,EO CE HDFCLIFE 31Jul2025 900,SALE,1100,1.25,1375.0,0
2025-07-14 11:37:05,EO CE HDFCLIFE 31Jul2025 900,BUY,2200,0.2,440.0,0
2025-08-18 13:55:57,EO CE HEROMOTOCO 28Aug2025 5500,SALE,150,4.9,735.0,0
2025-06-25 09:44:27,IO CE NIFTY 26Jun2025 25500,SALE,225,11.8,2655.0,0
2025-07-31 15:21:28,IO CE NIFTY 31Jul2025 25500,BUY,300,0.05,15.0,0
2025-07-08 15:27:45,IO CE NIFTY 31Jul2025 26500,BUY,75,38.5,2887.5,0
2025-07-31 15:21:30,IO CE NIFTY 31Jul2025 26800,BUY,75,0.05,3.75,0
2025-06-23 15:28:11,IO CE NIFTY 31Jul2025 26900,SALE,300,13.8,4140.0,0
2025-09-08 09:30:02,IO PE NIFTY 09Sep2025 24200,SALE,75,1.9,142.5,0
2025-09-18 15:14:02,IO PE NIFTY 23Sep2025 24500,SALE,75,3.3,247.5,0
2025-06-24 14:06:16,IO PE NIFTY 26Jun2025 24800,BUY,300,42.0,12600.0,0
2025-06-26 15:24:08,IO PE NIFTY 26Jun2025 24900,BUY,300,0.1,30.0,0
2025-07-28 13:26:43,IO CE NIFTY 31Jul2025 25500,SALE,75,5.15,386.25,0
2025-07-31 15:15:56,IO CE NIFTY 31Jul2025 26900,BUY,75,0.05,3.75,0
2025-07-09 09:21:47,IO CE NIFTY 31Jul2025 26900,SALE,150,10.6,1590.0,0
2025-06-10 14:50:11,IO PE NIFTY 12Jun2025 24800,BUY,150,17.3,2595.0,0
2025-06-16 12:10:16,IO PE NIFTY 19Jun2025 24000,SALE,225,11.0,2475.0,0
2025-06-26 10:05:27,IO PE NIFTY 26Jun2025 24700,SALE,300,2.2,660.0,0
2025-06-24 12:15:30,IO PE NIFTY 26Jun2025 24700,SALE,75,11.8,885.0,0
2025-06-23 15:28:16,IO PE NIFTY 31Jul2025 22500,SALE,75,23.55,1766.25,0
2025-07-02 15:27:19,EO CE MCX 31Jul2025 10200,SALE,125,62.5,7812.5,0
2025-05-30 11:24:09,EO CE MFSL 26Jun2025 1680,SALE,800,3.85,3080.0,0
2025-06-25 11:24:14,EO CE NYKAA 26Jun2025 205,BUY,5900,1.0,5900.0,0
2025-06-12 12:00:22,EO CE NYKAA 26Jun2025 230,BUY,2950,0.2,590.0,0
2025-06-19 09:45:19,EO CE PAGEIND 26Jun2025 48000,SALE,15,40.0,600.0,0
2025-08-13 13:52:43,EO CE PAYTM 28Aug2025 1280,BUY,1450,5.1,7395.0,0
2025-08-28 09:27:11,EO CE PAYTM 28Aug2025 1320,BUY,2175,0.25,543.75,0
2025-08-26 10:22:57,EO CE PAYTM 28Aug2025 1320,SALE,725,1.9,1377.5,0
2025-08-26 09:41:54,EO CE PAYTM 28Aug2025 1320,SALE,725,2.0,1450.0,0
2025-08-19 11:49:09,EO CE PAYTM 28Aug2025 1340,BUY,725,2.5,1812.5,0
2025-08-28 13:31:27,EO CE PAYTM 28Aug2025 1380,BUY,725,0.05,36.25,0
2025-09-29 11:05:44,EO CE PAYTM 28Oct2025 1400,SALE,725,2.7,1957.5,0
2025-06-10 12:25:01,EO CE MCX 26Jun2025 8800,SALE,100,39.9,3990.0,0
2025-06-17 12:40:24,EO CE MCX 26Jun2025 8800,SALE,200,18.8,3760.0,0
2025-06-09 13:05:17,EO CE MCX 26Jun2025 8800,BUY,100,42.1,4210.0,0
2025-06-17 10:17:24,EO CE MCX 26Jun2025 8800,BUY,100,26.15,2615.0,0
2025-07-29 11:13:33,EO CE MCX 31Jul2025 10200,BUY,125,0.7,87.5,0
2025-06-18 12:42:30,EO CE MFSL 26Jun2025 1680,BUY,800,4.1,3280.0,0
2025-06-02 10:07:10,EO CE NYKAA 26Jun2025 230,SALE,2950,0.95,2802.5,0
2025-08-26 09:39:31,EO CE NYKAA 28Aug2025 240,BUY,6250,0.1,625.0,0
2025-09-24 14:33:23,EO CE NYKAA 30Sep2025 270,BUY,3125,0.05,156.25,0
2025-09-04 11:29:14,EO CE NYKAA 30Sep2025 270,SALE,6250,0.7,4375.0,0
2025-07-21 15:27:52,EO CE PATANJALI 31Jul2025 2160,BUY,300,4.5,1350.0,0
2025-06-13 10:10:57,EO CE ETERNAL 26Jun2025 280,BUY,2000,0.6,1200.0,0
2025-09-25 14:18:09,EO CE ETERNAL 28Oct2025 380,SALE,2425,2.2,5335.0,0
2025-09-05 15:24:19,EO CE ETERNAL 30Sep2025 370,BUY,2425,0.6,1455.0,0
2025-07-09 13:33:02,EO CE GMRAIRPORT 31Jul2025 100,BUY,6975,0.5,3487.5,0
2025-07-29 11:14:07,EO CE HCLTECH 31Jul2025 1740,BUY,350,0.15,52.5,0
2025-07-16 15:19:20,EO CE HDFCAMC 31Jul2025 5800,BUY,150,21.15,3172.5,0
2025-06-23 14:04:33,EO CE HDFCBANK 26Jun2025 2000,SALE,550,1.25,687.5,0
2025-08-25 09:17:13,EO CE HDFCBANK 28Aug2025 2060,SALE,550,1.05,577.5,0
2025-08-12 11:47:25,EO CE HDFCBANK 28Aug2025 2240,BUY,1650,0.45,742.5,0
2025-08-19 09:39:05,EO CE HDFCLIFE 28Aug2025 830,SALE,2200,1.0,2200.0,0
2025-09-04 10:13:50,EO CE HDFCLIFE 30Sep2025 850,SALE,2200,2.75,6050.0,0
2025-07-07 09:32:49,EO CE JUBLFOOD 31Jul2025 800,SALE,1250,1.5,1875.0,0
2025-08-14 11:08:40,EO CE KALYANKJIL 28Aug2025 650,BUY,1175,0.5,587.5,0
2025-06-24 10:32:12,EO CE KPITTECH 26Jun2025 1420,SALE,400,1.15,460.0,0
2025-07-31 09:49:53,EO CE M&M 31Jul2025 3300,BUY,200,6.4,1280.0,0
2025-08-18 11:24:47,EO CE MARICO 28Aug2025 790,BUY,1200,0.35,420.0,0
2025-08-18 11:14:24,EO CE MARICO 28Aug2025 790,BUY,1200,0.35,420.0,0
2025-08-26 14:04:50,EO CE MAXHEALTH 28Aug2025 1360,BUY,1050,0.05,52.5,0
2025-08-18 14:32:51,EO CE MAXHEALTH 28Aug2025 1380,SALE,525,1.05,551.25,0
2025-08-25 11:14:36,EO CE MAXHEALTH 28Aug2025 1440,BUY,525,0.05,26.25,0
2025-06-17 14:22:52,EO CE MCX 26Jun2025 8500,SALE,100,54.9,5490.0,0
2025-06-20 15:09:05,EO CE NAUKRI 26Jun2025 1600,BUY,750,2.0,1500.0,0
2025-06-10 11:00:11,EO CE NYKAA 26Jun2025 230,BUY,2950,0.35,1032.5,0
2025-08-01 10:39:58,EO CE HINDUNILVR 28Aug2025 2900,SALE,300,3.0,900.0,0
2025-08-01 09:39:17,EO CE HINDUNILVR 28Aug2025 2980,SALE,1200,3.0,3600.0,0
2025-09-19 12:39:54,EO CE INDHOTEL 30Sep2025 840,SALE,1000,0.9,900.0,0
2025-08-11 10:01:17,EO CE INDIANB 28Aug2025 740,SALE,1000,1.3,1300.0,0
2025-08-18 09:18:28,EO CE INDIANB 28Aug2025 740,BUY,1000,0.75,750.0,0
2025-06-12 12:06:51,EO CE INFY 26Jun2025 1680,SALE,400,8.3,3320.0,0
2025-08-25 13:06:21,EO CE JIOFIN 28Aug2025 360,BUY,4700,0.1,470.0,0
2025-09-29 10:48:50,EO CE JSWSTEEL 30Sep2025 1200,BUY,2025,0.05,101.25,0
2025-09-23 15:27:29,EO CE JSWSTEEL 30Sep2025 1200,BUY,675,1.0,675.0,0
2025-06-23 09:45:39,EO CE LODHA 26Jun2025 1600,SALE,450,1.5,675.0,0
2025-06-18 10:00:53,EO CE MAXHEALTH 26Jun2025 1360,BUY,525,0.9,472.5,0
2025-08-18 14:34:01,EO CE MAXHEALTH 28Aug2025 1380,SALE,525,1.05,551.25,0
2025-07-29 11:12:43,IO CE NIFTY 31Jul2025 25500,BUY,150,4.7,705.0,0
2025-07-08 11:55:15,IO CE NIFTY 31Jul2025 26500,SALE,150,29.65,4447.5,0
2025-07-25 10:46:57,IO CE NIFTY 31Jul2025 27200,BUY,150,0.85,127.5,0
2025-09-01 13:09:10,IO PE NIFTY 02Sep2025 24000,SALE,300,2.1,630.0,0
2025-07-01 09:42:02,IO PE NIFTY 03Jul2025 25100,SALE,300,12.15,3645.0,0
2025-06-25 10:43:46,IO PE NIFTY 26Jun2025 24900,SALE,75,13.9,1042.5,0
2025-07-29 11:13:05,IO PE NIFTY 31Jul2025 22500,BUY,75,0.9,67.5,0
2025-08-14 11:08:01,EO CE DABUR 28Aug2025 600,BUY,1250,0.15,187.5,0
2025-08-22 15:18:59,EO CE DIVISLAB 28Aug2025 6600,BUY,100,5.6,560.0,0
2025-08-07 10:46:43,EO CE DIVISLAB 28Aug2025 6900,SALE,100,7.9,790.0,0
2025-06-30 15:27:12,EO CE DIVISLAB 31Jul2025 7000,BUY,100,122.75,12275.0,0
2025-06-18 09:27:55,EO CE DMART 26Jun2025 4400,SALE,150,12.15,1822.5,0
2025-06-19 09:25:15,EO CE DMART 26Jun2025 4500,SALE,150,8.5,1275.0,0
2025-08-21 09:29:47,EO CE DMART 28Aug2025 4900,BUY,150,14.15,2122.5,0
2025-09-25 11:55:54,EO CE DMART 30Sep2025 5100,SALE,150,2.25,337.5,0
2025-09-04 10:43:55,EO CE DMART 30Sep2025 5300,SALE,150,13.15,1972.5,0
2025-09-04 11:19:20,EO CE DMART 30Sep2025 5400,SALE,300,7.9,2370.0,0
2025-07-25 10:49:02,EO CE DMART 31Jul2025 4500,BUY,150,1.15,172.5,0
2025-07-03 10:46:55,EO CE DMART 31Jul2025 4600,SALE,300,29.85,8955.0,0
2025-06-25 11:56:29,EO CE POLYCAB 26Jun2025 6600,SALE,250,7.7,1925.0,0
2025-09-24 11:31:33,EO CE RELIANCE 30Sep2025 1600,BUY,1000,0.1,100.0,0
2025-07-14 09:30:51,EO CE SBICARD 31Jul2025 1000,SALE,800,2.9,2320.0,0
2025-08-21 09:49:07,EO CE SBILIFE 28Aug2025 2040,SALE,375,1.4,525.0,0
2025-07-31 15:16:10,EO CE SHREECEM 31Jul2025 34000,BUY,25,0.05,1.25,0
2025-08-12 11:50:23,EO CE SIEMENS 28Aug2025 3500,SALE,250,6.0,1500.0,0
2025-07-30 10:43:11,EO CE SRF 31Jul2025 3400,BUY,200,0.1,20.0,0
2025-09-04 10:42:51,EO CE TATAMOTORS 30Sep2025 740,SALE,800,5.05,4040.0,0
2025-07-25 09:46:18,EO CE TORNTPHARM 31Jul2025 3800,BUY,250,7.1,1775.0,0
2025-06-19 14:30:07,EO CE TRENT 26Jun2025 5900,BUY,200,39.5,7900.0,0
2025-06-19 14:21:46,EO CE TRENT 26Jun2025 5900,SALE,200,44.9,8980.0,0
2025-06-19 15:20:38,EO CE TRENT 26Jun2025 6200,BUY,100,6.2,620.0,0
2025-07-21 15:18:46,EO CE PAYTM 31Jul2025 1080,BUY,725,11.1,8047.5,0
2025-07-18 09:36:08,EO CE POLYCAB 31Jul2025 8000,SALE,500,8.5,4250.0,0
2025-08-26 14:40:39,EO CE SBILIFE 28Aug2025 2040,BUY,1125,0.05,56.25,0
2025-06-26 12:35:21,EO CE SHREECEM 31Jul2025 33000,SALE,25,119.9,2997.5,0
2025-07-30 13:14:28,EO CE SHRIRAMFIN 31Jul2025 700,BUY,825,0.1,82.5,0
2025-07-08 09:59:41,EO CE SIEMENS 31Jul2025 3700,SALE,125,12.0,1500.0,0
2025-06-27 14:09:41,EO CE SOLARINDS 31Jul2025 18500,BUY,75,368.95,27671.25,0
2025-07-01 10:15:13,EO CE SRF 31Jul2025 3500,BUY,400,20.15,8060.0,0
2025-06-20 11:54:47,EO CE TRENT 26Jun2025 6200,BUY,100,5.25,525.0,0
2025-06-24 13:06:56,EO CE TRENT 26Jun2025 6300,SALE,200,21.95,4390.0,0
2025-08-22 09:39:15,EO CE TRENT 28Aug2025 5800,SALE,100,7.9,790.0,0
2025-06-18 13:18:36,EO CE TVSMOTOR 26Jun2025 2900,BUY,700,12.1,8470.0,0
2025-08-19 11:47:00,EO CE PAYTM 28Aug2025 1340,BUY,725,2.4,1740.0,0
2025-08-28 10:53:44,EO CE PAYTM 28Aug2025 1340,BUY,725,0.1,72.5,0
2025-07-23 11:03:46,EO CE PAYTM 31Jul2025 1140,BUY,725,6.5,4712.5,0
2025-07-28 10:38:23,EO CE PAYTM 31Jul2025 1180,BUY,1450,2.25,3262.5,0
2025-08-20 13:31:06,EO CE RELIANCE 28Aug2025 1470,SALE,500,2.9,1450.0,0
2025-07-09 15:20:39,EO CE SBICARD 31Jul2025 1050,BUY,800,2.2,1760.0,0
2025-08-18 14:00:36,EO CE SBILIFE 28Aug2025 1960,SALE,375,2.85,1068.75,0
2025-09-25 14:12:06,EO CE SBILIFE 30Sep2025 2040,BUY,375,0.05,18.75,0
2025-07-23 14:46:53,EO CE SBILIFE 31Jul2025 2040,BUY,1125,0.45,506.25,0
2025-07-31 15:23:05,EO CE SHREECEM 31Jul2025 34000,BUY,50,0.05,2.5,0
2025-07-02 15:13:14,EO CE SHREECEM 31Jul2025 34000,SALE,75,126.7,9502.5,0
2025-07-25 15:11:37,EO CE SHRIRAMFIN 31Jul2025 700,SALE,825,0.9,742.5,0
2025-08-07 10:42:19,EO CE DIVISLAB 28Aug2025 6900,SALE,100,7.9,790.0,0
2025-06-18 09:27:55,EO CE DMART 26Jun2025 4400,SALE,150,12.2,1830.0,0
2025-06-19 09:25:15,EO CE DMART 26Jun2025 4500,SALE,150,8.5,1275.0,0
2025-08-19 09:48:54,EO CE DMART 28Aug2025 4900,SALE,300,11.9,3570.0,0
2025-08-21 09:29:47,EO CE DMART 28Aug2025 4900,BUY,300,14.15,4245.0,0
2025-09-25 11:55:13,EO CE DMART 30Sep2025 5100,SALE,150,2.25,337.5,0
2025-07-25 10:49:02,EO CE DMART 31Jul2025 4500,BUY,150,1.15,172.5,0
2025-07-31 13:57:56,EO CE DMART 31Jul2025 4600,BUY,150,0.05,7.5,0
2025-07-07 13:11:32,EO CE DMART 31Jul2025 4800,BUY,300,12.1,3630.0,0
2025-07-08 11:55:15,IO CE NIFTY 31Jul2025 26500,SALE,75,29.65,2223.75,0
2025-07-25 10:46:51,IO CE NIFTY 31Jul2025 26800,BUY,75,0.9,67.5,0
